
Solution: (0,9) (1,1) (2,17) (3,15) (4,7) (5,22) (5,41) (6,2) (8,5) (9,3) (10,29) (11,46) (12,48) (13,18) (15,33) (15,42) (17,34) (18,23) (19,38) (20,6) (21,8) (22,45) (23,30) (24,26) (25,36) (25,43) (26,19) (26,32) (28,20) (28,27) (29,49) (30,35) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (39,10) (40,14) (40,21) (41,24) (41,40) (43,12) (43,47) (44,28) (45,13) (46,44) (47,16) 
# pairs of queens attacking each other: 27

Solution: (0,9) (1,1) (2,12) (2,17) (3,15) (4,7) (5,22) (5,41) (6,2) (8,5) (9,3) (10,29) (11,46) (12,48) (13,18) (15,33) (15,42) (17,34) (18,23) (19,38) (20,6) (21,8) (22,45) (23,30) (24,26) (25,36) (25,43) (26,19) (26,32) (28,20) (28,27) (29,49) (30,35) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (39,10) (40,14) (40,21) (41,24) (41,40) (43,47) (44,28) (45,13) (46,44) (47,16) 
# pairs of queens attacking each other: 25

Solution: (0,9) (1,1) (2,12) (2,17) (3,15) (4,7) (5,22) (5,41) (6,2) (8,5) (9,3) (10,29) (11,46) (12,48) (13,18) (15,33) (15,42) (17,34) (18,23) (19,38) (20,6) (21,8) (22,45) (23,30) (24,26) (25,36) (25,43) (26,19) (26,32) (28,20) (28,27) (29,49) (30,35) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (39,10) (40,14) (40,21) (41,24) (41,40) (43,47) (44,28) (45,13) (46,44) (47,16) 
# pairs of queens attacking each other: 25


Solution: (0,9) (1,1) (2,12) (2,17) (3,15) (4,7) (5,22) (5,41) (6,2) (8,5) (9,3) (10,29) (11,46) (12,48) (13,18) (15,33) (15,42) (17,34) (18,23) (19,38) (20,6) (21,8) (22,45) (23,30) (24,26) (25,36) (25,43) (26,19) (26,32) (28,20) (28,27) (29,49) (30,35) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (38,14) (39,10) (40,21) (41,24) (41,40) (43,47) (44,28) (45,13) (46,44) (47,16) 
# pairs of queens attacking each other: 24

Solution: (0,9) (1,1) (2,12) (2,17) (3,15) (4,7) (5,22) (5,41) (6,2) (8,5) (9,3) (10,29) (11,46) (12,48) (13,18) (15,33) (15,42) (17,34) (18,23) (19,38) (20,6) (21,8) (22,45) (23,30) (24,26) (25,36) (25,43) (26,19) (26,32) (28,20) (28,27) (29,49) (30,35) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (38,14) (39,10) (40,21) (41,24) (41,40) (43,47) (44,28) (45,13) (46,44) (47,16) 
# pairs of queens attacking each other: 24


